code,ingredient,dosage,name,price
1190410E1024,メコバラミン,２５ｍｇ１瓶,ロゼバラミン筋注用２５ｍｇ,10425.0
1190411A1027,トフェルセン,１００ｍｇ１５ｍＬ１瓶,クアルソディ髄注１００ｍｇ,2788883.0
1211401A1017,プロカイン塩酸塩,０．５％１ｍＬ１管,プロカイン塩酸塩注射液,94.0
1211401A2013,プロカイン塩酸塩,０．５％２ｍＬ１管,プロカイン塩酸塩注射液,94.0
1211401A3010,プロカイン塩酸塩,０．５％５ｍＬ１管,プロカイン塩酸塩注射液,94.0
1211401A4016,プロカイン塩酸塩,１％１ｍＬ１管,プロカイン塩酸塩注射液,94.0
1211401A5012,プロカイン塩酸塩,１％２ｍＬ１管,プロカイン塩酸塩注射液,94.0
1211401A6019,プロカイン塩酸塩,１％５ｍＬ１管,プロカイン塩酸塩注射液,94.0
1211401A7015,プロカイン塩酸塩,１％１０ｍＬ１管,プロカイン塩酸塩注射液,94.0
1211401A8011,プロカイン塩酸塩,２％１ｍＬ１管,プロカイン塩酸塩注射液,95.0
1211401A9018,プロカイン塩酸塩,２％２ｍＬ１管,プロカイン塩酸塩注射液,95.0
1211401H1015,プロカイン塩酸塩,２％５ｍＬ１管,プロカイン塩酸塩注射液,96.0
1211401H3018,プロカイン塩酸塩,０．５％１０ｍＬ１管,プロカイン塩酸塩注射液,94.0
1214400A1022,リドカイン塩酸塩・アドレナリン,０．５％１０ｍＬバイアル,キシロカイン注射液「０．５％」エピレナミン（１：１００，０００）含有,118.0
1214400A2029,リドカイン塩酸塩・アドレナリン,１％１０ｍＬバイアル,キシロカイン注射液「１％」エピレナミン（１：１００，０００）含有,119.0
1214400A3025,リドカイン塩酸塩・アドレナリン,２％１０ｍＬバイアル,キシロカイン注射液「２％」エピレナミン（１：８０，０００）含有,153.0
1214400A5052,リドカイン塩酸塩,０．５％５ｍＬ１管,キシロカイン注ポリアンプ０．５％,59.0
1214400A5060,リドカイン塩酸塩,０．５％５ｍＬ１管,リドカイン塩酸塩注０．５％「日新」,59.0
1214400A5087,リドカイン塩酸塩,０．５％５ｍＬ１管,リドカイン塩酸塩注射液０．５％「ＶＴＲＳ」,59.0
1214400A6059,リドカイン塩酸塩,０．５％１０ｍＬ１管,キシロカイン注ポリアンプ０．５％,86.0
1214400A6067,リドカイン塩酸塩,０．５％１０ｍＬ１管,リドカイン塩酸塩注０．５％「日新」,66.0
1214400A6083,リドカイン塩酸塩,０．５％１０ｍＬ１管,リドカイン塩酸塩注射液０．５％「ＶＴＲＳ」,66.0
1214400A7055,リドカイン塩酸塩,１％５ｍＬ１管,キシロカイン注ポリアンプ１％,59.0
1214400A7063,リドカイン塩酸塩,１％５ｍＬ１管,リドカイン塩酸塩注１％「日新」,59.0
1214400A7080,リドカイン塩酸塩,１％５ｍＬ１管,リドカイン塩酸塩注射液１％「ＶＴＲＳ」,59.0
1214400A8051,リドカイン塩酸塩,１％１０ｍＬ１管,キシロカイン注ポリアンプ１％,79.0
1214400A8060,リドカイン塩酸塩,１％１０ｍＬ１管,リドカイン塩酸塩注１％「日新」,80.0
1214400A8086,リドカイン塩酸塩,１％１０ｍＬ１管,リドカイン塩酸塩注射液１％「ＶＴＲＳ」,80.0
1214400A9058,リドカイン塩酸塩,２％５ｍＬ１管,キシロカイン注ポリアンプ２％,74.0
1214400A9066,リドカイン塩酸塩,２％５ｍＬ１管,リドカイン塩酸塩注２％「日新」,59.0
1214400A9082,リドカイン塩酸塩,２％５ｍＬ１管,リドカイン塩酸塩注射液２％「ＶＴＲＳ」,59.0
